Date,App_Name,Category,Minutes_Used
2026-07-20,Instagram,Social Media,48
2026-07-20,YouTube,Entertainment,72
2026-07-20,VS Code,Coding,180
2026-07-20,WhatsApp,Messaging,35
2026-07-20,Spotify,Music,40
2026-07-20,Coursera,Education,30
2026-07-21,Instagram,Social Media,55
2026-07-21,Netflix,Entertainment,95
2026-07-21,VS Code,Coding,210
2026-07-21,LinkedIn,Productivity,25
2026-07-21,Telegram,Messaging,22
2026-07-21,Kindle,Reading,30
2026-07-22,YouTube,Entertainment,68
2026-07-22,Discord,Social Media,40
2026-07-22,LeetCode,Coding,120
2026-07-22,Coursera,Education,45
2026-07-22,Chrome,Productivity,55
2026-07-22,Spotify,Music,33
2026-07-23,Instagram,Social Media,61
2026-07-23,Netflix,Entertainment,88
2026-07-23,VS Code,Coding,240
2026-07-23,GitHub,Coding,55
2026-07-23,WhatsApp,Messaging,28
2026-07-23,Kindle,Reading,20
2026-07-24,YouTube,Entertainment,74
2026-07-24,Discord,Social Media,50
2026-07-24,VS Code,Coding,190
2026-07-24,Chrome,Productivity,63
2026-07-24,Spotify,Music,38
2026-07-24,Coursera,Education,35
2026-07-25,Instagram,Social Media,70
2026-07-25,Netflix,Entertainment,102
2026-07-25,VS Code,Coding,165
2026-07-25,LeetCode,Coding,90
2026-07-25,WhatsApp,Messaging,30
2026-07-25,Kindle,Reading,22
2026-07-26,YouTube,Entertainment,80
2026-07-26,LinkedIn,Productivity,40
2026-07-26,VS Code,Coding,220
2026-07-26,GitHub,Coding,70
2026-07-26,Coursera,Education,50
2026-07-26,Spotify,Music,28
2026-07-27,Instagram,Social Media,58
2026-07-27,Discord,Social Media,45
2026-07-27,Netflix,Entertainment,90
2026-07-27,VS Code,Coding,205
2026-07-27,Chrome,Productivity,60
2026-07-27,Telegram,Messaging,24
2026-07-28,YouTube,Entertainment,77
2026-07-28,Instagram,Social Media,62
2026-07-28,VS Code,Coding,235
2026-07-28,LeetCode,Coding,110
2026-07-28,Kindle,Reading,25
2026-07-28,Spotify,Music,34
2026-07-29,Netflix,Entertainment,105
2026-07-29,Discord,Social Media,52
2026-07-29,VS Code,Coding,200
2026-07-29,Coursera,Education,40
2026-07-29,Chrome,Productivity,58
2026-07-29,WhatsApp,Messaging,26
2026-07-30,Instagram,Social Media,66
2026-07-30,YouTube,Entertainment,84
2026-07-30,VS Code,Coding,215
2026-07-30,GitHub,Coding,65
2026-07-30,Kindle,Reading,27
2026-07-30,Spotify,Music,31
2026-07-31,Instagram,Social Media,72
2026-07-31,Netflix,Entertainment,95
2026-07-31,VS Code,Coding,250
2026-07-31,Chrome,Productivity,68
2026-07-31,Coursera,Education,44
2026-07-31,Telegram,Messaging,29
2026-08-01,Instagram,Social Media,60
2026-08-01,YouTube,Entertainment,75
2026-08-01,VS Code,Coding,230
2026-08-01,LeetCode,Coding,100
2026-08-01,Kindle,Reading,24
2026-08-01,Spotify,Music,32
2026-08-02,Instagram,Social Media,54
2026-08-02,Discord,Social Media,40
2026-08-02,VS Code,Coding,195
2026-08-02,Chrome,Productivity,66
2026-08-02,Coursera,Education,48
2026-08-02,WhatsApp,Messaging,23
2026-08-03,Instagram,Social Media,78
2026-08-03,Netflix,Entertainment,110
2026-08-03,VS Code,Coding,260
2026-08-03,LinkedIn,Productivity,70
2026-08-03,Telegram,Messaging,30
2026-08-03,Spotify,Music,35
